"Qcode","DeptCode","부서명","섹션명","CriticalSparePart","Source"
"Q1040051","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q2060462","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q2070790","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q2070791","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q2070796","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q2070797","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q2070800","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q2070801","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q2091278","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q2091279","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q2139926","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q2234798","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1000737","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1000745","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1000781","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1000971","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1032374","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1039284","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1039371","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1040012","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1040224","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1040225","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1040312","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1042306","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1042421","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1048997","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1049004","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1071793","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1073119","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1073185","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1073416","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1073453","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1074634","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1074772","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1078283","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1137969","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1218357","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1218391","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1218393","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1219164","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1260654","SEO26FF","","","O","appropriate_quantity/master.csv"
"Q1292612","SEO26FF","","","O","appropriate_quantity/master.csv"
