INbound Date	Qcode	수량	Dept Code	Item Type	부서명	섹션명	Leaf Class	Category
2020-04-16	Q4548259	5	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2020-04-30	Q4548259	4	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2020-04-18	Q4548259	4	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2025-04-06	Q1029614	27	SEO26FF	Drive Coupling	(광양)압연설비1부	열연정비2섹션	Drive Coupling	Drive Coupling
2025-04-02	Q1029614	27	SEO26FF	Drive Coupling	(광양)압연설비1부	열연정비2섹션	Drive Coupling	Drive Coupling
2025-04-03	Q1029614	27	SEO26FF	Drive Coupling	(광양)압연설비1부	열연정비2섹션	Drive Coupling	Drive Coupling
2025-01-13	Q4590955	5	SEO26FF	Cast Steel (S)	(광양)압연설비1부	열연정비2섹션	Cast Steel (S)	Cast Steel (S)
2025-01-16	Q4590955	5	SEO26FF	Cast Steel (S)	(광양)압연설비1부	열연정비2섹션	Cast Steel (S)	Cast Steel (S)
2025-01-01	Q4590955	4	SEO26FF	Cast Steel (S)	(광양)압연설비1부	열연정비2섹션	Cast Steel (S)	Cast Steel (S)
2025-11-18	Q4702505	11	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2025-11-01	Q4702505	11	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2025-11-22	Q4702505	11	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2025-11-10	Q4103142	6	SEO26FF	Hydraulic & Pneumatics	(광양)압연설비1부	열연정비1섹션	Hydraulic Pump	Hydraulic & Pneumatics
2025-11-05	Q4103142	6	SEO26FF	Hydraulic & Pneumatics	(광양)압연설비1부	열연정비1섹션	Hydraulic Pump	Hydraulic & Pneumatics
2025-11-23	Q4103142	5	SEO26FF	Hydraulic & Pneumatics	(광양)압연설비1부	열연정비1섹션	Hydraulic Pump	Hydraulic & Pneumatics
2024-01-02	Q4694508	4	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2024-01-02	Q4694508	4	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2024-01-01	Q4694508	3	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2022-03-28	Q1011982	26	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Bolt & Nut	Bolt & Nut
2022-03-28	Q1011982	25	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Bolt & Nut	Bolt & Nut
2022-03-18	Q1011982	25	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Bolt & Nut	Bolt & Nut
2025-09-21	Q4204060	28	SEO26FF	Gear & Gear box	(광양)압연설비1부	열연정비1섹션	Gear & Gear box	Gear & Gear box
2025-09-12	Q4204060	27	SEO26FF	Gear & Gear box	(광양)압연설비1부	열연정비1섹션	Gear & Gear box	Gear & Gear box
2025-09-12	Q4204060	27	SEO26FF	Gear & Gear box	(광양)압연설비1부	열연정비1섹션	Gear & Gear box	Gear & Gear box
2024-09-17	Q4503770	14	SEO26FF	Common items	(광양)압연설비1부	열연정비1섹션	Common items	Common items
2024-09-22	Q4503770	14	SEO26FF	Common items	(광양)압연설비1부	열연정비1섹션	Common items	Common items
2024-09-12	Q4503770	13	SEO26FF	Common items	(광양)압연설비1부	열연정비1섹션	Common items	Common items
2025-12-31	Q2163394	12	SEO26FF	VMI	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2025-12-06	Q2163394	12	SEO26FF	VMI	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2025-12-12	Q2163394	11	SEO26FF	VMI	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2026-01-13	Q4418347	9	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2026-01-27	Q4418347	8	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
