Qcode	수량	Dept Code	Item Type	부서명	섹션명	Leaf Class	Category
Q2125412	0	SEO26FF	Packing & Seal	(광양)압연설비1부	열연정비2섹션	Packing & Seal	Packing & Seal
Q1002238	5	SEO26FF	Manual Valve	(광양)압연설비1부	열연정비1섹션	Control Valve	Manual Valve
Q2059083	0	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
Q4386124	14	SEO26FF	Hydraulic & Pneumatics	(광양)압연설비1부	열연정비2섹션	Hydraulic Pump	Hydraulic & Pneumatics
Q4269272	11	SEO26FF	Fan & Blower (Ready)	(광양)압연설비1부	열연정비1섹션	Fan & Blower (Ready)	Fan & Blower (Ready)
Q1029653	9	SEO26FF	Drive Coupling	(광양)압연설비1부	열연정비1섹션	Drive Coupling	Drive Coupling
Q4394089	0	SEO26FF	Rotary/Swivel Joint	(광양)압연설비1부	열연정비1섹션	Rotary/Swivel Joint	Rotary/Swivel Joint
Q4015405	8	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
Q1218393	12	SEO26FF	Electrical & Electron	(광양)압연설비1부	열연정비2섹션	Electrical & Electron	Electrical & Electron
Q1052919	9	SEO26FF	Non/Fe Casting Metal(Copper)	(광양)압연설비1부	열연정비2섹션	Non/Fe Casting Metal(Copper)	Non/Fe Casting Metal(Copper)
Q1053401	0	SEO26FF	Non/Fe Casting Metal(Copper)	(광양)압연설비1부	열연정비1섹션	Non/Fe Casting Metal(Copper)	Non/Fe Casting Metal(Copper)
Q4548260	13	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
Q4499010	16	SEO26FF	Machinery Common	(광양)압연설비1부	열연정비2섹션	Machinery Common	Machinery Common
Q1072821	20	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
Q2228264	15	SEO26FF	Non/Fe Casting Metal(Copper)	(광양)압연설비1부	열연정비2섹션	Non/Fe Casting Metal(Copper)	Non/Fe Casting Metal(Copper)
Q2026952	20	SEO26FF	Hydraulic Cylinder	(광양)압연설비1부	열연정비1섹션	Hydraulic Cylinder	Hydraulic Cylinder
Q4239083	0	SEO26FF	Instrument Parts	(광양)압연설비1부	열연정비1섹션	Instrument Parts	Instrument Parts
Q1218391	10	SEO26FF	Electrical & Electron	(광양)압연설비1부	열연정비1섹션	Electrical & Electron	Electrical & Electron
Q1072924	8	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
Q1204949	19	SEO26FF	Consignment	(광양)압연설비1부	열연정비1섹션	Packing & Seal	Packing & Seal
Q4073338	16	SEO26FF	Cast Steel (S)	(광양)압연설비1부	열연정비2섹션	Cast Steel (S)	Cast Steel (S)
Q1052919	16	SEO26FF	Non/Fe Casting Metal(Copper)	(광양)압연설비1부	열연정비2섹션	Non/Fe Casting Metal(Copper)	Non/Fe Casting Metal(Copper)
Q4576432	19	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
Q1073184	8	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
Q2098351	3	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
Q4605206	5	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
Q1053287	15	SEO26FF	Non/Fe Casting Metal(Copper)	(광양)압연설비1부	열연정비1섹션	Non/Fe Casting Metal(Copper)	Non/Fe Casting Metal(Copper)
Q2116695	4	SEO26FF	Consignment	(광양)압연설비1부	열연정비2섹션	Machinery Common	Machinery Common
Q2100582	18	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Critical Bearing	Critical Bearing
Q4693466	9	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
Q2143616	0	SEO26FF	Electrical & Electron	(광양)압연설비1부	열연정비2섹션	Electrical & Electron	Electrical & Electron
Q2060332	11	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Machinery Common	Machinery Common
Q4015405	19	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
Q1080969	0	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
Q4383840	19	SEO26FF	Hydraulic Cylinder	(광양)압연설비1부	열연정비1섹션	Hydraulic Cylinder	Hydraulic Cylinder
Q4551507	13	SEO26FF	Anti-abrasion class(H/F)	(광양)압연설비1부	열연정비1섹션	Anti-abrasion class(H/F)	Anti-abrasion class(H/F)
Q4503767	13	SEO26FF	Common items	(광양)압연설비1부	열연정비2섹션	Common items	Common items
Q4532058	11	SEO26FF	Consignment	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
Q1073453	15	SEO26FF	Bolt & Nut	(광양)압연설비1부	열연정비1섹션	Bolt & Nut	Bolt & Nut
Q1293261	0	SEO26FF	Hydraulic Cylinder	(광양)압연설비1부	열연정비2섹션	Hydraulic Cylinder	Hydraulic Cylinder
