q,dept,targetIns,reasonIns,gradeIns,signalIns,statusIns,targetPln,reasonPln,gradePln,signalPln,statusPln
Q1000108,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한4→2",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1000737,SEO26FF,1,"핵심보험[S] μ_LT+SS(Z2.58)=1,상한1,기준1→1",S,red,즉시발주,0,핵심설비 계획품이나 소요비활발(λ0.3)→0,S,gray,재고불요
Q1000745,SEO26FF,4,"핵심보험[S] μ_LT+SS(Z2.58)=4,상한6,기준2→4",S,yellow,발주임박,1,핵심설비계획품 소요활발(λ1.1)→소량1,S,gray,충분
Q1000751,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한2→2",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1000781,SEO26FF,2,"핵심보험[S] μ_LT+SS(Z2.58)=2,상한2,기준2→2",S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1000971,SEO26FF,1,핵심보험[S] 소요無→기준1,S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1002238,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1002292,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1004847,SEO26FF,18,"비핵심보험[C] μ_LT+SS(Z1.28)=18,상한60→18",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1005323,SEO26FF,290,"비핵심보험[C] μ_LT+SS(Z1.28)=290,상한726→290",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1007239,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고충분
Q1010099,SEO26FF,5,"비핵심보험[C] μ_LT+SS(Z1.28)=5,상한13→5",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1010193,SEO26FF,19,"비핵심보험[C] μ_LT+SS(Z1.28)=19,상한30→19",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1010224,SEO26FF,3,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한7→3",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
