q,dept,type,typeSrc,grade,target,need,amount,action,reason,signal,status,sigEq,sigKind,stopDate,dueDate,dDays,expect,issues,trend
Q1000108,SEO26FF,보험품,master.csv,C,2,1,1422190,발주,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한4→2",yellow,발주임박,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1000737,SEO26FF,계획품,classification_result.csv,S,0,0,0,유지,핵심설비 계획품이나 소요비활발(λ0.3)→0,gray,재고불요,,상시,,,,,1,0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1000745,SEO26FF,보험품,classification_result.csv,S,4,2,2440000,발주,"핵심보험[S] μ_LT+SS(Z2.58)=4,상한6,기준2→4",yellow,발주임박,,상시,,,,,4,0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1000751,SEO26FF,보험품,classification_result.csv,B,2,0,0,유지,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한2→2",green,여유,,상시,,,,,1,0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Q1000781,SEO26FF,보험품,classification_result.csv,S,2,2,10913448,발주,"핵심보험[S] μ_LT+SS(Z2.58)=2,상한2,기준2→2",red,즉시발주,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1000971,SEO26FF,보험품,classification_result.csv,S,1,1,3567054,발주,핵심보험[S] 소요無→기준1,red,즉시발주,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1002238,SEO26FF,계획품,classification_result.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,1,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1002292,SEO26FF,계획품,classification_result.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1004847,SEO26FF,계획품,classification_result.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1005323,SEO26FF,계획품,classification_result.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,1,0;0;0;0;0;0;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1007239,SEO26FF,보험품,classification_result.csv,C,0,0,0,감축,비핵심보험[C] 소요無→0,gray,재고불요,FM Main Motor,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1010099,SEO26FF,계획품,classification_result.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,2,0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1010193,SEO26FF,계획품,master.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0
Q1010224,SEO26FF,보험품,classification_result.csv,C,3,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한7→3",gray,충분,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1010299,SEO26FF,보험품,master.csv,B,7,3,717270,발주,"비핵심보험[B] μ_LT+SS(Z1.65)=7,상한10→7",yellow,발주임박,,상시,,,,,1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
Q1011982,SEO26FF,계획품,master.csv,B,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,2,0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0
Q1012773,SEO26FF,계획품,master.csv,B,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,1,0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Q1012781,SEO26FF,보험품,master.csv,B,100,50,206750,발주,"비핵심보험[B] μ_LT+SS(Z1.65)=100,상한200→100",yellow,발주임박,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
