"Item","LinkedEquipment","SparePartHoldingStd","DeptCode"
"Q1053112","FM Crop Shear","","SEO26FF"
"Q1053113","FM Crop Shear","","SEO26FF"
"Q1078248","FM Main Motor","","SEO26FF"
"Q1078249","FM Main Motor","","SEO26FF"
"Q1053247","FM Main Motor","","SEO26FF"
"Q1053248","FM Main Motor","","SEO26FF"
"Q1053287","FM Main Motor","","SEO26FF"
"Q1053317","FM Main Motor","","SEO26FF"
"Q1053318","FM Main Motor","","SEO26FF"
"Q1053378","FM Main Motor","","SEO26FF"
"Q1030043","FM Spindle 감속기","","SEO26FF"
"Q1030044","FM Spindle 감속기","","SEO26FF"
"Q1019385","FM Crop Shear","","SEO26FF"
"Q1031708","FM Main Motor","","SEO26FF"
"Q1032182","FM Roll Alignment","","SEO26FF"
"Q1080083","FM Screw Down","","SEO26FF"
"Q1080084","FM Screw Down","","SEO26FF"
"Q1029602","FM Spindle 감속기","","SEO26FF"
"Q1029614","FM Spindle 감속기","","SEO26FF"
"Q1029653","FM Crop Shear","","SEO26FF"
"Q1034397","FM Main Motor","","SEO26FF"
"Q1040051","","2","SEO26FF"
"Q2013987","FM Crop Shear","","SEO26FF"
"Q1072836","FM Main Motor","","SEO26FF"
"Q1072995","FM Roll Alignment","","SEO26FF"
"Q1077400","FM Roll Alignment","","SEO26FF"
"Q1077476","FM Spindle 감속기","","SEO26FF"
"Q1077622","FM Roll Alignment","","SEO26FF"
"Q2028329","FM Crop Shear","","SEO26FF"
"Q1007239","FM Main Motor","","SEO26FF"
"Q1080496","FM Roll Alignment","","SEO26FF"
"Q2052411","FM Main Motor","","SEO26FF"
"Q2055671","FM Main Motor","","SEO26FF"
"Q2060462","","2","SEO26FF"
"Q2068400","FM Crop Shear","","SEO26FF"
"Q2070790","","2","SEO26FF"
"Q2070791","","1","SEO26FF"
"Q2070796","","1","SEO26FF"
"Q2070797","","1","SEO26FF"
"Q2070800","","1","SEO26FF"
"Q2070801","FM Roll Alignment","2","SEO26FF"
"Q2079803","FM Main Motor","","SEO26FF"
"Q2086434","FM Main Motor","","SEO26FF"
"Q2091278","","2","SEO26FF"
"Q2091279","","1","SEO26FF"
"Q2095020","FM Edge Heater","","SEO26FF"
"Q2097306","FM Main Motor","","SEO26FF"
"Q2100582","FM Hot Leveller","","SEO26FF"
"Q2101008","FM Screw Down","","SEO26FF"
"Q2101009","FM Screw Down","","SEO26FF"
"Q2101010","FM Screw Down","","SEO26FF"
"Q2110732","FM Roll Alignment","","SEO26FF"
"Q2110733","FM Roll Alignment","","SEO26FF"
"Q2116016","FM Spindle 감속기","","SEO26FF"
"Q2120491","FM Spindle 감속기","","SEO26FF"
"Q2122540","FM Main Motor","","SEO26FF"
"Q2139926","","1","SEO26FF"
"Q2142284","FM Main Motor","","SEO26FF"
"Q2142898","FM Pinion Stand","","SEO26FF"
"Q2146787","QOC Servo","","SEO26FF"
"Q2154362","FM Main Motor","","SEO26FF"
"Q2162413","FM Screw Down","","SEO26FF"
"Q2163394","FM Main Motor","","SEO26FF"
"Q2177492","FM Hot Leveller","","SEO26FF"
"Q2184244","FM Crop Shear","","SEO26FF"
"Q2184478","FM Crop Shear","","SEO26FF"
"Q2187474","FM Main Motor","","SEO26FF"
"Q2190703","FM Hot Leveller","","SEO26FF"
"Q2202508","FM Roll Alignment","","SEO26FF"
"Q2210205","Stand Main TR","","SEO26FF"
"Q2228264","FM Main Motor","","SEO26FF"
