"Equipment","MaintKind","StopStart","ReStart","StopHours","Manpower","Factory","Line","DeptCode"
"Overhead Crane","대수리","2015-01-22","2015-01-31","216","254","4열연","슬래브 입고라인","SEO26FF"
"가열로 Pick Up 크레인","대수리","2015-01-22","2015-01-31","216","254","4열연","슬래브 장입라인","SEO26FF"
"Table Roller 기어박스","대수리","2015-01-22","2015-01-31","216","254","4열연","가열로 입측라인","SEO26FF"
"Reheating Furnace","대수리","2015-01-22","2015-01-31","216","254","4열연","가열로라인","SEO26FF"
"Walking Beam","대수리","2015-01-22","2015-01-31","216","254","4열연","가열로라인","SEO26FF"
"Walking Beam 기어베어링","대수리","2015-01-22","2015-01-31","216","254","4열연","가열로라인","SEO26FF"
"EP 집진기 TR","대수리","2015-01-22","2015-01-31","216","254","4열연","가열로라인","SEO26FF"
"High-Pressure Descaler","대수리","2015-01-22","2015-01-31","216","254","4열연","조압연 전 스케일 제거라인","SEO26FF"
"Descaling Pump","대수리","2015-01-22","2015-01-31","216","254","4열연","조압연 전 스케일 제거라인","SEO26FF"
"RM Descaling Pump","대수리","2015-01-22","2015-01-31","216","254","4열연","조압연 전 스케일 제거라인","SEO26FF"
"Edger Mill","대수리","2015-01-22","2015-01-31","216","254","4열연","폭압연라인","SEO26FF"
"E2A/B Motor","대수리","2015-01-22","2015-01-31","216","254","4열연","폭압연라인","SEO26FF"
"Vertical Mill","대수리","2015-01-22","2015-01-31","216","254","4열연","수직압연라인","SEO26FF"
"RM Main Motor","대수리","2015-01-22","2015-01-31","216","254","4열연","조압연 1호기 라인","SEO26FF"
"RM Stand Adjust","대수리","2015-01-22","2015-01-31","216","254","4열연","조압연 1호기 라인","SEO26FF"
"Stand Main TR","대수리","2015-01-22","2015-01-31","216","254","4열연","조압연 1호기 라인","SEO26FF"
"RM Screw Down","대수리","2015-01-22","2015-01-31","216","254","4열연","조압연 1호기 라인","SEO26FF"
"Roll Bending System","대수리","2015-01-22","2015-01-31","216","254","4열연","조압연 4호기 라인","SEO26FF"
"Crop Shear","대수리","2015-01-22","2015-01-31","216","254","4열연","중간소재 이송라인","SEO26FF"
"Transfer Bar Heater","대수리","2015-01-22","2015-01-31","216","254","4열연","중간소재 보온라인","SEO26FF"
"FM Edge Heater","대수리","2015-01-22","2015-01-31","216","254","4열연","마무리압연 전 엣지히터라인","SEO26FF"
"FM Main Motor","대수리","2015-01-22","2015-01-31","216","254","4열연","마무리압연 1호기 라인","SEO26FF"
"FM Metal 베어링","대수리","2015-01-22","2015-01-31","216","254","4열연","마무리압연 1호기 라인","SEO26FF"
"FM Spindle 감속기","대수리","2015-01-22","2015-01-31","216","254","4열연","마무리압연 1호기 라인","SEO26FF"
"FM Roll Alignment","대수리","2015-01-22","2015-01-31","216","254","4열연","마무리압연 1호기 라인","SEO26FF"
