"Item","Type","CriticalSparePart","CriticalEquipment","Warehouse","SourcingGroup","StockDept","StockAll","SupplierCount","UnitCost","LeadTimeMean","LeadTimeStd","CompletedCycles","ProcurementType","ReceivingDate","LinkedEquipment","SparePartHoldingStd","DeptCode"
"Q1000108","보험품","X","X","QFC01","Q_Ball & Roller BRG","1","4","1","1422189.73","227.67","60.61","6","국내","2022-08-25","","","SEO26FF"
"Q1042338","보험품","X","X","QFC01","Q_Rotary/Swivel Joint","1","1","1","420000","70.50","20.51","2","국내","2025-03-20","","","SEO26FF"
"Q1042383","계획품","X","X","QFC01","Q_Rotary/Swivel Joint","2","2","1","1137500","52.75","13.50","4","국내","2026-07-02","","","SEO26FF"
"Q1052919","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","2","2","5","39000","50.73","26.24","11","국내","2026-03-23","","","SEO26FF"
"Q1052933","계획품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","2","2","4","27500","49.33","17.33","9","국내","2025-10-28","","","SEO26FF"
"Q1053112","보험품","X","O","QFC01","Q_Non/Fe Casting Metal(Copper)","4","4","3","164100","55","3.46","3","국내","2022-01-10","FM Crop Shear","","SEO26FF"
"Q1053113","보험품","X","O","QFC01","Q_Non/Fe Casting Metal(Copper)","4","4","3","120800","55","3.46","3","국내","2022-01-10","FM Crop Shear","","SEO26FF"
"Q1053117","계획품","X","X","QHB25","Q_Non/Fe Casting Metal(Copper)","2","2","2","340000","83.33","24.11","3","국내","2026-04-22","","","SEO26FF"
"Q1053133","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","2","2","4","425000","55.43","9.93","7","국내","2023-03-08","","","SEO26FF"
"Q1053210","계획품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","3","3","3","20000","35.07","17.57","28","국내","2025-10-28","","","SEO26FF"
"Q1078241","계획품","X","X","QFC01","Q_Machining(General)","1","1","1","465000","53","0","1","국내","2015-04-22","","","SEO26FF"
"Q1078244","보험품","X","X","QFC01","Q_Machining(General)","1","1","1","415000","70","0","1","국내","2022-02-09","","","SEO26FF"
