"Signal","Status","Item","Type","Equipment","Kind","StopDate","OrderByDate","D_days","ExpectedNeed","CurrentStock","OrderNeed","OrderAmount","DeptCode"
"red","즉시발주","Q1119526","보험품","","상시","","","","3","0","3","953259","SEO26FF"
"red","즉시발주","Q1121188","보험품","","상시","","","","2","0","2","768902","SEO26FF"
"red","즉시발주","Q1021836","보험품","","상시","","","","63","3","60","3335","SEO26FF"
"red","즉시발주","Q1019015","보험품","","상시","","","","3","1","2","1019898","SEO26FF"
"red","즉시발주","Q1023576","보험품","","상시","","","","3","1","2","24880","SEO26FF"
"red","즉시발주","Q1031233","보험품","","상시","","","","5","2","3","5071044","SEO26FF"
"red","즉시발주","Q1019683","보험품","","상시","","","","7","2","5","50246625","SEO26FF"
"red","즉시발주","Q1020168","보험품","","상시","","","","6","2","4","13173009","SEO26FF"
"red","즉시발주","Q1040058","보험품","","상시","","","","3","1","2","1380000","SEO26FF"
"red","즉시발주","Q2011846","보험품","","상시","","","","10","3","7","3815000","SEO26FF"
"red","즉시발주","Q1021932","보험품","","상시","","","","5","2","3","3908","SEO26FF"
"red","즉시발주","Q2055672","보험품","","상시","","","","8","1","7","4760000","SEO26FF"
"red","즉시발주","Q2060154","보험품","","상시","","","","5","2","3","228000","SEO26FF"
"red","즉시발주","Q2060222","보험품","","상시","","","","16","5","11","1054682","SEO26FF"
"red","즉시발주","Q2118354","보험품","","상시","","","","52","20","32","466688","SEO26FF"
"red","즉시발주","Q2118643","보험품","","상시","","","","7","2","5","1917100","SEO26FF"
"red","즉시발주","Q2139926","보험품","","상시","","","","3","1","2","2200000","SEO26FF"
"red","즉시발주","Q2228264","보험품","FM Main Motor","상시","","","","5","2","3","420000","SEO26FF"
"red","즉시발주","Q4013000","보험품","Walking Beam 기어베어링","상시","","","","4","1","3","7383000","SEO26FF"
"red","즉시발주","Q4015362","보험품","","상시","","","","4","1","3","1980000","SEO26FF"
"red","즉시발주","Q4015364","보험품","","상시","","","","4","1","3","954000","SEO26FF"
"red","즉시발주","Q4015365","보험품","","상시","","","","8","1","7","416967","SEO26FF"
