Signal,Status,Item,DeptCode,Type,Equipment,Kind,StopDate,OrderByDate,D_days,ExpectedNeed,CurrentStock,OrderNeed,OrderAmount
red,즉시발주,Q1119526,SEO26FF,보험품,,상시,,,,3,0,3,953259
red,즉시발주,Q1121188,SEO26FF,보험품,,상시,,,,1,0,1,384451
red,즉시발주,Q1021836,SEO26FF,보험품,,상시,,,,63,3,60,3335
red,즉시발주,Q1019015,SEO26FF,보험품,,상시,,,,3,1,2,1019898
red,즉시발주,Q1023576,SEO26FF,보험품,,상시,,,,3,1,2,24880
red,즉시발주,Q1031233,SEO26FF,보험품,,상시,,,,5,2,3,5071044
red,즉시발주,Q1019683,SEO26FF,보험품,,상시,,,,7,2,5,50246625
red,즉시발주,Q1020168,SEO26FF,보험품,,상시,,,,6,2,4,13173009
red,즉시발주,Q1040058,SEO26FF,보험품,,상시,,,,3,1,2,1380000
red,즉시발주,Q2011846,SEO26FF,보험품,,상시,,,,10,3,7,3815000
red,즉시발주,Q2055672,SEO26FF,보험품,,상시,,,,8,1,7,4760000
red,즉시발주,Q2060154,SEO26FF,보험품,,상시,,,,5,2,3,228000
red,즉시발주,Q2060222,SEO26FF,보험품,,상시,,,,16,5,11,1054682
red,즉시발주,Q2118354,SEO26FF,보험품,,상시,,,,52,20,32,466688
red,즉시발주,Q2118643,SEO26FF,보험품,,상시,,,,7,2,5,1917100
red,즉시발주,Q2139926,SEO26FF,보험품,,상시,,,,3,1,2,2200000
red,즉시발주,Q2228264,SEO26FF,보험품,FM Main Motor,상시,,,,5,2,3,420000
red,즉시발주,Q4013000,SEO26FF,보험품,Walking Beam 기어베어링,상시,,,,4,1,3,7383000
red,즉시발주,Q4015362,SEO26FF,보험품,,상시,,,,4,1,3,1980000
red,즉시발주,Q4015363,SEO26FF,보험품,,상시,,,,4,1,3,744000
red,즉시발주,Q4015364,SEO26FF,보험품,,상시,,,,4,1,3,954000
red,즉시발주,Q4015365,SEO26FF,보험품,,상시,,,,8,1,7,416967
red,즉시발주,Q4015405,SEO26FF,계획품,FM Roll Alignment,대수리,2026-09-04,2026-05-17,-109,2,1,1,2119000
red,즉시발주,Q4015414,SEO26FF,보험품,,상시,,,,4,1,3,118800
red,즉시발주,Q4026534,SEO26FF,계획품,FM Main Motor,대수리,2026-09-04,2026-05-21,-105,200,100,100,1600000
red,즉시발주,Q4080430,SEO26FF,계획품,FM Main Motor,대수리,2026-09-04,2026-05-05,-121,2,1,1,5700000
red,즉시발주,Q4246475,SEO26FF,보험품,Stand Main TR,상시,,,,10,2,8,3113776
red,즉시발주,Q4357975,SEO26FF,보험품,,상시,,,,3,1,2,7604980
red,즉시발주,Q4419677,SEO26FF,계획품,FM Roll Alignment,대수리,2026-09-04,2026-05-01,-125,8,4,4,3200000
red,즉시발주,Q4541491,SEO26FF,보험품,,상시,,,,8,2,6,5250000
red,즉시발주,Q4541492,SEO26FF,보험품,,상시,,,,8,2,6,5250000
red,즉시발주,Q1000737,SEO26FF,보험품,,상시,,,,1,0,1,760000
red,즉시발주,Q1000781,SEO26FF,보험품,,상시,,,,2,0,2,10913448
red,즉시발주,Q1000971,SEO26FF,보험품,,상시,,,,1,0,1,3567054
red,즉시발주,Q1032374,SEO26FF,보험품,,상시,,,,3,0,3,625842
red,즉시발주,Q1039284,SEO26FF,보험품,,상시,,,,2,0,2,10870000
red,즉시발주,Q1040012,SEO26FF,보험품,,상시,,,,2,0,2,13641810
red,즉시발주,Q1040224,SEO26FF,보험품,,상시,,,,2,0,2,17872000
red,즉시발주,Q1040225,SEO26FF,보험품,,상시,,,,2,0,2,10523682
red,즉시발주,Q1040312,SEO26FF,보험품,,상시,,,,4,0,4,4480000
red,즉시발주,Q1042421,SEO26FF,보험품,,상시,,,,1,0,1,5550000
red,즉시발주,Q1049004,SEO26FF,보험품,,상시,,,,1,0,1,3016846
red,즉시발주,Q1071793,SEO26FF,보험품,,상시,,,,25,0,25,1908725
red,즉시발주,Q1073119,SEO26FF,보험품,,상시,,,,1,0,1,6502210
red,즉시발주,Q1073185,SEO26FF,보험품,,상시,,,,24,0,24,1778496
red,즉시발주,Q1073416,SEO26FF,보험품,,상시,,,,24,0,24,1832376
red,즉시발주,Q1073453,SEO26FF,보험품,,상시,,,,21,0,21,1603329
red,즉시발주,Q1074634,SEO26FF,보험품,,상시,,,,2,0,2,126304000
red,즉시발주,Q1074772,SEO26FF,보험품,,상시,,,,4,0,4,208620000
red,즉시발주,Q1078283,SEO26FF,보험품,,상시,,,,4,0,4,23796240
red,즉시발주,Q1218393,SEO26FF,보험품,,상시,,,,1,0,1,2577600
red,즉시발주,Q1292612,SEO26FF,보험품,,상시,,,,6,0,6,29400000
red,즉시발주,Q1314441,SEO26FF,보험품,,상시,,,,1,0,1,3598518
red,즉시발주,Q1316039,SEO26FF,보험품,,상시,,,,1,0,1,135333
red,즉시발주,Q2010934,SEO26FF,보험품,,상시,,,,2,0,2,0
red,즉시발주,Q2024559,SEO26FF,보험품,,상시,,,,3,1,2,18000000
red,즉시발주,Q2028061,SEO26FF,보험품,,상시,,,,2,0,2,168050800
red,즉시발주,Q2028134,SEO26FF,보험품,,상시,,,,1,0,1,9333184
red,즉시발주,Q2045742,SEO26FF,보험품,,상시,,,,1,0,1,4099280
red,즉시발주,Q2074769,SEO26FF,보험품,,상시,,,,4,0,4,1640000
red,즉시발주,Q2094703,SEO26FF,보험품,,상시,,,,1,0,1,18565170
red,즉시발주,Q2118996,SEO26FF,보험품,,상시,,,,1,0,1,2396595
red,즉시발주,Q2124049,SEO26FF,보험품,,상시,,,,15,0,15,6000000
red,즉시발주,Q2130293,SEO26FF,보험품,,상시,,,,1,0,1,4616560
red,즉시발주,Q2143592,SEO26FF,보험품,,상시,,,,1,0,1,7982500
red,즉시발주,Q2143616,SEO26FF,보험품,,상시,,,,1,0,1,541022
red,즉시발주,Q2226242,SEO26FF,보험품,,상시,,,,1,0,1,11730000
red,즉시발주,Q4018011,SEO26FF,보험품,,상시,,,,10,3,7,5147270
red,즉시발주,Q4018015,SEO26FF,보험품,,상시,,,,8,1,7,17729468
red,즉시발주,Q4018018,SEO26FF,보험품,,상시,,,,13,1,12,36603797
red,즉시발주,Q4018023,SEO26FF,보험품,,상시,,,,1,0,1,2757626
red,즉시발주,Q4169634,SEO26FF,보험품,,상시,,,,2,0,2,10486132
red,즉시발주,Q4178355,SEO26FF,보험품,,상시,,,,4,0,4,77800000
red,즉시발주,Q4185031,SEO26FF,보험품,,상시,,,,4,0,4,7840000
red,즉시발주,Q4210213,SEO26FF,보험품,,상시,,,,2,0,2,19900000
red,즉시발주,Q4521625,SEO26FF,보험품,,상시,,,,1,0,1,1040000000
red,즉시발주,Q4604630,SEO26FF,보험품,,상시,,,,1,0,1,1503362000
red,즉시발주,QS424543,SEO26FF,보험품,,상시,,,,1,0,1,98500000
yellow,발주임박,Q1000108,SEO26FF,보험품,,상시,,,,2,1,1,1422190
yellow,발주임박,Q1052919,SEO26FF,보험품,,상시,,,,3,2,1,39000
yellow,발주임박,Q1120753,SEO26FF,보험품,,상시,,,,3,2,1,91512
yellow,발주임박,Q1201276,SEO26FF,보험품,,상시,,,,2,1,1,475153
yellow,발주임박,Q1201564,SEO26FF,보험품,,상시,,,,2,1,1,98467200
yellow,발주임박,Q1012781,SEO26FF,보험품,,상시,,,,100,50,50,206750
yellow,발주임박,Q1032182,SEO26FF,보험품,FM Roll Alignment,상시,,,,2,1,1,558639
yellow,발주임박,Q1010299,SEO26FF,보험품,,상시,,,,7,4,3,717270
yellow,발주임박,Q1024620,SEO26FF,보험품,,상시,,,,12,10,2,21666
yellow,발주임박,Q1040051,SEO26FF,보험품,,상시,,,,2,1,1,3630000
yellow,발주임박,Q1072820,SEO26FF,보험품,,상시,,,,3,2,1,96000
yellow,발주임박,Q1072836,SEO26FF,보험품,FM Main Motor,상시,,,,2,1,1,4200000
yellow,발주임박,Q1073590,SEO26FF,보험품,,상시,,,,15,8,7,864500
yellow,발주임박,Q1077285,SEO26FF,보험품,,상시,,,,14,10,4,800000
yellow,발주임박,Q1078004,SEO26FF,보험품,,상시,,,,2,1,1,116025
yellow,발주임박,Q1034310,SEO26FF,보험품,,상시,,,,4,2,2,639626
yellow,발주임박,Q1021932,SEO26FF,보험품,,상시,,,,4,2,2,2605
yellow,발주임박,Q2059082,SEO26FF,보험품,,상시,,,,7,5,2,26000
yellow,발주임박,Q2060148,SEO26FF,보험품,,상시,,,,14,10,4,80000
yellow,발주임박,Q2060463,SEO26FF,보험품,,상시,,,,2,1,1,4970000
yellow,발주임박,Q2060474,SEO26FF,보험품,,상시,,,,2,1,1,3490000
yellow,발주임박,Q2064661,SEO26FF,보험품,,상시,,,,2,1,1,970000
yellow,발주임박,Q2066145,SEO26FF,보험품,,상시,,,,2,1,1,1050000
yellow,발주임박,Q2076004,SEO26FF,보험품,,상시,,,,4,2,2,8142530
yellow,발주임박,Q2087261,SEO26FF,보험품,,상시,,,,2,1,1,218106
yellow,발주임박,Q2091278,SEO26FF,보험품,,상시,,,,2,1,1,6880000
yellow,발주임박,Q2095281,SEO26FF,보험품,,상시,,,,2,1,1,1590000
yellow,발주임박,Q2096490,SEO26FF,보험품,,상시,,,,2,1,1,1253120
yellow,발주임박,Q2101009,SEO26FF,보험품,FM Screw Down,상시,,,,6,4,2,26824
yellow,발주임박,Q2194827,SEO26FF,보험품,,상시,,,,3,2,1,551000
yellow,발주임박,Q2200466,SEO26FF,보험품,,상시,,,,6,4,2,26824
yellow,발주임박,Q2228118,SEO26FF,보험품,,상시,,,,2,1,1,900000
yellow,발주임박,Q4012998,SEO26FF,보험품,Walking Beam 기어베어링,상시,,,,3,2,1,300000
yellow,발주임박,Q4020699,SEO26FF,보험품,Table Roller 기어박스,상시,,,,5,3,2,310710
yellow,발주임박,Q4047391,SEO26FF,보험품,,상시,,,,2,1,1,4470495
yellow,발주임박,Q4124066,SEO26FF,보험품,,상시,,,,2,1,1,467112
yellow,발주임박,Q4169942,SEO26FF,보험품,,상시,,,,2,1,1,5641350
yellow,발주임박,Q4172575,SEO26FF,보험품,,상시,,,,2,1,1,27940000
yellow,발주임박,Q4182619,SEO26FF,보험품,,상시,,,,2,1,1,3704000
yellow,발주임박,Q4188532,SEO26FF,보험품,,상시,,,,5,4,1,194000
yellow,발주임박,Q4210315,SEO26FF,보험품,,상시,,,,2,1,1,3630000
yellow,발주임박,Q4256411,SEO26FF,보험품,,상시,,,,5,4,1,154755
yellow,발주임박,Q4273074,SEO26FF,보험품,,상시,,,,3,2,1,1150000
yellow,발주임박,Q4283104,SEO26FF,보험품,,상시,,,,2,1,1,895839
yellow,발주임박,Q4327789,SEO26FF,보험품,,상시,,,,2,1,1,2100000
yellow,발주임박,Q4384099,SEO26FF,보험품,,상시,,,,3,2,1,904166
yellow,발주임박,Q4386124,SEO26FF,보험품,QOC Servo,상시,,,,3,2,1,8923590
yellow,발주임박,Q4439265,SEO26FF,보험품,QOC Servo,상시,,,,2,1,1,11900000
yellow,발주임박,Q4439266,SEO26FF,보험품,QOC Servo,상시,,,,2,1,1,14806000
yellow,발주임박,Q4465267,SEO26FF,보험품,,상시,,,,2,1,1,13900000
yellow,발주임박,QS418165,SEO26FF,보험품,,상시,,,,2,1,1,65000000
yellow,발주임박,Q4515205,SEO26FF,보험품,FM Roll Alignment,상시,,,,36,20,16,240976
