Item,DeptCode,Type,Grade,AgeDays,StockDept,StaleValue,PoolGrade,Action
Q4587154,SEO26FF,보험품,S,1095,5,66995500,review,보류/전환(핵심보험)
Q2054727,SEO26FF,보험품,S,2641,16,63126008,strong,즉시공용화(전사재고有)
Q4441695,SEO26FF,보험품,S,2493,1,56339009,review,보류/전환(핵심보험)
Q4418347,SEO26FF,계획품,B,1541,1,51170000,medium,공용화권장(비핵심·계획품)
Q4625646,SEO26FF,보험품,B,821,1,39463680,medium,공용화권장(비핵심·계획품)
Q1137969,SEO26FF,보험품,S,1590,4,37210492,strong,즉시공용화(전사재고有)
Q1072926,SEO26FF,계획품,B,2403,3,37028000,medium,공용화권장(비핵심·계획품)
Q4390457,SEO26FF,보험품,B,3079,2,35856000,medium,공용화권장(비핵심·계획품)
Q1218357,SEO26FF,보험품,S,3493,3,32368725,strong,즉시공용화(전사재고有)
Q4172575,SEO26FF,보험품,C,1751,1,27940000,strong,즉시공용화(전사재고有)
Q4625628,SEO26FF,보험품,B,709,1,27439590,medium,공용화권장(비핵심·계획품)
Q2185181,SEO26FF,보험품,S,2542,5,27167800,strong,즉시공용화(전사재고有)
Q4104776,SEO26FF,계획품,C,1751,1,19980000,strong,즉시공용화(전사재고有)
Q4598537,SEO26FF,보험품,B,709,1,19269375,medium,공용화권장(비핵심·계획품)
Q2130291,SEO26FF,보험품,S,2282,3,18073228,strong,즉시공용화(전사재고有)
Q4386124,SEO26FF,보험품,S,2709,2,17847180,review,보류/전환(핵심보험)
Q2088228,SEO26FF,보험품,S,2047,3,16055870,strong,즉시공용화(전사재고有)
Q4439266,SEO26FF,보험품,S,1046,1,14806000,review,보류/전환(핵심보험)
Q2079803,SEO26FF,보험품,C,1280,8,14000000,medium,공용화권장(비핵심·계획품)
Q4485080,SEO26FF,보험품,B,2178,1,12883750,medium,공용화권장(비핵심·계획품)
Q4439265,SEO26FF,보험품,A,1232,1,11900000,review,보류/전환(핵심보험)
Q1293261,SEO26FF,계획품,B,2778,1,11770000,medium,공용화권장(비핵심·계획품)
Q4485081,SEO26FF,보험품,B,2178,1,11646910,medium,공용화권장(비핵심·계획품)
