Item,DeptCode,Type,TypeSource,Grade,CSP,CEQ,UnitCost,StockDept,StockAll,Target,OrderNeed,OrderAmount,Action,Reason
Q1000108,SEO26FF,보험품,master.csv,C,X,X,1422190,1,4,2,1,1422190,발주,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한4→2"
Q1042338,SEO26FF,보험품,master.csv,B,X,X,420000,1,1,1,0,0,유지,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한2→1"
Q1042383,SEO26FF,계획품,master.csv,B,X,X,1137500,2,2,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1052919,SEO26FF,보험품,master.csv,C,X,X,39000,2,2,3,1,39000,발주,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한8→3"
Q1052933,SEO26FF,계획품,master.csv,C,X,X,27500,2,2,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1053112,SEO26FF,보험품,master.csv,A,X,O,164100,4,4,2,0,0,감축,"핵심보험[A] μ_LT+SS(Z2.05)=2,상한4,기준1→2"
Q1053113,SEO26FF,보험품,master.csv,A,X,O,120800,4,4,2,0,0,감축,"핵심보험[A] μ_LT+SS(Z2.05)=2,상한4,기준1→2"
Q1053117,SEO26FF,계획품,master.csv,C,X,X,340000,2,2,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1053133,SEO26FF,보험품,master.csv,C,X,X,425000,2,2,2,0,0,유지,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한2→2"
Q1053210,SEO26FF,계획품,master.csv,C,X,X,20000,3,3,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1078241,SEO26FF,계획품,master.csv,C,X,X,465000,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1078244,SEO26FF,보험품,master.csv,B,X,X,415000,1,1,0,0,0,감축,비핵심보험[B] 소요無→0
Q1078248,SEO26FF,보험품,master.csv,A,X,O,150000,2,2,2,0,0,유지,"핵심보험[A] μ_LT+SS(Z2.05)=2,상한2,기준1→2"
Q1078249,SEO26FF,보험품,master.csv,A,X,O,141000,1,1,1,0,0,유지,"핵심보험[A] μ_LT+SS(Z2.05)=1,상한1,기준1→1"
Q1053247,SEO26FF,보험품,master.csv,A,X,O,26881,4,4,4,0,0,유지,"핵심보험[A] μ_LT+SS(Z2.05)=4,상한6,기준1→4"
Q1053248,SEO26FF,보험품,master.csv,A,X,O,21000,4,4,4,0,0,유지,"핵심보험[A] μ_LT+SS(Z2.05)=4,상한6,기준1→4"
Q1053287,SEO26FF,보험품,master.csv,A,X,O,25000,3,3,1,0,0,감축,"핵심보험[A] μ_LT+SS(Z2.05)=1,상한1,기준1→1"
Q1053317,SEO26FF,계획품,master.csv,A,X,O,36000,2,2,0,0,0,감축,핵심설비 계획품이나 3년무소요→0
Q1053318,SEO26FF,계획품,master.csv,A,X,O,36850,2,2,0,0,0,감축,핵심설비 계획품이나 3년무소요→0
Q1053378,SEO26FF,계획품,master.csv,A,X,O,67000,2,2,0,0,0,감축,핵심설비 계획품이나 3년무소요→0
Q1053392,SEO26FF,계획품,master.csv,C,X,X,176000,2,2,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1053400,SEO26FF,보험품,master.csv,C,X,X,150000,2,2,1,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1"
Q1053401,SEO26FF,보험품,master.csv,C,X,X,150000,1,1,1,0,0,유지,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1"
Q1053468,SEO26FF,계획품,master.csv,C,X,X,190000,2,2,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1053581,SEO26FF,보험품,master.csv,B,X,X,9634025,1,1,1,0,0,유지,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한3→1"
Q1053588,SEO26FF,보험품,master.csv,C,X,X,65000,4,4,4,0,0,유지,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한8→4"
Q1053590,SEO26FF,보험품,master.csv,C,X,X,68750,4,4,2,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한4→2"
Q1117822,SEO26FF,보험품,master.csv,C,X,X,1029700,1,1,0,0,0,감축,비핵심보험[C] 소요無→0
Q1051490,SEO26FF,보험품,master.csv,C,X,X,19716,8,8,2,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한0→2"
Q1119268,SEO26FF,계획품,master.csv,C,X,X,23591,60,60,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1119452,SEO26FF,계획품,master.csv,B,X,X,30637,2,2,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1119526,SEO26FF,보험품,master.csv,C,X,X,317753,0,2,3,3,953259,발주,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한5→3"
Q1119649,SEO26FF,보험품,master.csv,C,X,X,103890,20,90,7,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=7,상한20→7"
Q1119795,SEO26FF,보험품,master.csv,C,X,X,728590,1,6,1,0,0,유지,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한1→1"
Q1120753,SEO26FF,보험품,master.csv,B,X,X,91512,2,2,3,1,91512,발주,"비핵심보험[B] μ_LT+SS(Z1.65)=3,상한3→3"
Q1121188,SEO26FF,보험품,master.csv,C,X,X,384451,0,0,1,1,384451,발주,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한1→1"
Q1000751,SEO26FF,계획품,master.csv,B,X,X,1285000,2,2,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1204795,SEO26FF,보험품,master.csv,C,X,X,16373,12,12,2,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한2→2"
Q1204949,SEO26FF,보험품,master.csv,C,X,X,1880,13,33,4,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한10→4"
Q1305036,SEO26FF,계획품,master.csv,C,X,X,2867,10,10,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1002238,SEO26FF,보험품,master.csv,C,X,X,197767,1,1,1,0,0,유지,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1"
Q1002292,SEO26FF,보험품,master.csv,C,X,X,1766,10,25,0,0,0,감축,비핵심보험[C] 소요無→0
Q1201276,SEO26FF,보험품,master.csv,B,X,X,475153,1,1,2,1,475153,발주,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한3→2"
Q1201564,SEO26FF,보험품,master.csv,C,X,X,98467200,1,3,2,1,98467200,발주,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한10→2"
Q1004847,SEO26FF,계획품,master.csv,C,X,X,48014,30,30,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1005323,SEO26FF,계획품,master.csv,C,X,X,4509,323,1210,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1011982,SEO26FF,계획품,master.csv,B,X,X,2791,100,100,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1021614,SEO26FF,보험품,master.csv,B,X,X,118,10,10,10,0,0,유지,"비핵심보험[B] μ_LT+SS(Z1.65)=10,상한10→10"
Q1021836,SEO26FF,보험품,master.csv,C,X,X,56,3,16,63,60,3335,발주,"비핵심보험[C] μ_LT+SS(Z1.28)=63,상한100→63"
Q1021920,SEO26FF,보험품,master.csv,C,X,X,611,15,73,8,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=8,상한24→8"
Q1030043,SEO26FF,계획품,master.csv,A,X,O,210000,1,1,0,0,0,감축,핵심설비 계획품이나 소요비활발(λ0.1)→0
Q1030044,SEO26FF,계획품,master.csv,A,X,O,210000,1,1,0,0,0,감축,핵심설비 계획품이나 소요비활발(λ0.2)→0
Q1030453,SEO26FF,계획품,master.csv,C,X,X,51285,6,7,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1293261,SEO26FF,계획품,master.csv,B,X,X,11770000,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1297201,SEO26FF,보험품,master.csv,B,X,X,343,22,22,2,0,0,감축,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한5→2"
Q1297240,SEO26FF,계획품,master.csv,B,X,X,63716,2,2,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1308654,SEO26FF,계획품,master.csv,C,X,X,895678,1,3,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1012773,SEO26FF,계획품,master.csv,B,X,X,12404,2,2,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1012781,SEO26FF,보험품,master.csv,B,X,X,4135,50,50,100,50,206750,발주,"비핵심보험[B] μ_LT+SS(Z1.65)=100,상한200→100"
Q1018930,SEO26FF,보험품,master.csv,C,X,X,3169,1,14,0,0,0,감축,비핵심보험[C] 소요無→0
Q1019015,SEO26FF,보험품,master.csv,A,X,X,509949,1,1,3,2,1019898,발주,"비핵심보험[A] μ_LT+SS(Z2.05)=3,상한5→3"
Q1019385,SEO26FF,계획품,master.csv,S,X,O,41063883,2,2,0,0,0,감축,핵심설비 계획품이나 소요비활발(λ0.4)→0
