"Item","Type","Grade","AgeDays","StockDept","StaleValue","PoolGrade","Action","DeptCode"
"Q4587154","보험품","S","1095","5","66995500","review","보류/전환(핵심보험)","SEO26FF"
"Q2054727","보험품","S","2641","16","63126008","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4441695","보험품","S","2493","1","56339009","review","보류/전환(핵심보험)","SEO26FF"
"Q4418347","계획품","B","1541","1","51170000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4625646","보험품","B","821","1","39463680","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1137969","보험품","S","1590","4","37210492","strong","즉시공용화(전사재고有)","SEO26FF"
"Q1072926","계획품","B","2403","3","37028000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4390457","보험품","B","3079","2","35856000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1218357","보험품","S","3493","3","32368725","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4172575","보험품","C","1751","1","27940000","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4625628","보험품","B","709","1","27439590","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2185181","보험품","S","2542","5","27167800","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4104776","계획품","C","1751","1","19980000","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4598537","보험품","B","709","1","19269375","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2130291","보험품","S","2282","3","18073228","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4386124","보험품","S","2709","2","17847180","review","보류/전환(핵심보험)","SEO26FF"
"Q2088228","보험품","S","2047","3","16055870","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4439266","보험품","S","1046","1","14806000","review","보류/전환(핵심보험)","SEO26FF"
"Q2079803","보험품","C","1280","8","14000000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4485080","보험품","B","2178","1","12883750","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4439265","보험품","A","1232","1","11900000","review","보류/전환(핵심보험)","SEO26FF"
"Q1293261","계획품","B","2778","1","11770000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4485081","보험품","B","2178","1","11646910","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4439263","보험품","C","1259","1","11500000","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4192133","보험품","S","1681","2","11121754","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4192171","보험품","S","1681","2","11121754","strong","즉시공용화(전사재고有)","SEO26FF"
"Q2013987","계획품","S","3352","2","10760000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1072616","계획품","B","3557","8","10315040","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4439269","보험품","C","1206","1","9990000","strong","즉시공용화(전사재고有)","SEO26FF"
"Q1053581","보험품","B","738","1","9634025","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2098900","계획품","B","2170","1","9500000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2210205","계획품","B","1864","4","9465984","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2234798","계획품","S","1702","1","9000000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2024559","보험품","S","2544","1","9000000","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4453988","보험품","B","1323","1","8726315","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4230326","보험품","S","4107","2","8413312","review","보류/전환(핵심보험)","SEO26FF"
"Q2200005","보험품","B","3488","16","8254400","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4192179","보험품","S","1681","1","8200889","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4119198","보험품","B","947","1","8031660","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2060465","보험품","B","1506","1","7497000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4336678","보험품","B","2642","1","7354160","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4398385","보험품","B","1140","1","7049560","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2106112","보험품","B","4217","8","7000000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2091278","보험품","S","1030","1","6880000","review","보류/전환(핵심보험)","SEO26FF"
"Q4073338","보험품","B","1666","2","5900000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2139998","보험품","S","1147","1","5745152","review","보류/전환(핵심보험)","SEO26FF"
"Q1219164","보험품","S","2593","3","5665334","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4169942","보험품","B","4521","1","5641350","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2233578","계획품","B","1864","2","5593536","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4612557","보험품","B","986","2","5549580","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4576432","보험품","C","784","4","5400000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4515573","보험품","C","1168","2","5300000","strong","즉시공용화(전사재고有)","SEO26FF"
"Q2163394","계획품","B","2733","2","5270000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4412288","계획품","A","2894","2","5000000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2184712","계획품","B","2397","2","4908000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4517801","보험품","B","1863","6","4770000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2173282","계획품","C","1091","1","4769000","strong","즉시공용화(전사재고有)","SEO26FF"
"Q1077925","계획품","B","1231","4","4520000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4140770","보험품","C","3615","4","4072400","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2084886","보험품","B","2891","4","3840000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4450272","보험품","C","2459","1","3800000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4182619","보험품","B","1182","1","3704000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4559686","보험품","B","1522","3","3540000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4034332","보험품","B","3346","2","3530000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1077622","계획품","S","2347","1","3524000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4210501","보험품","B","2638","1","3503333","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2060474","보험품","B","1739","1","3490000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2126080","계획품","B","2485","1","3485350","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4536719","보험품","B","1704","4","3480000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4590955","보험품","B","1218","2","3400000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2200004","보험품","B","3487","16","3360000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2060332","보험품","B","1535","1","3300693","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4543363","보험품","B","1588","1","3300000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4269272","보험품","S","912","2","3245834","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4017406","계획품","B","3335","2","3221000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1072995","계획품","A","3535","1","3203333","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4597580","보험품","A","1176","30","3027330","review","보류/전환(핵심보험)","SEO26FF"
"Q4200634","계획품","A","1568","3","2981607","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1040729","보험품","C","665","2","2920000","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4018004","보험품","S","828","2","2862703","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4169635","보험품","S","1294","1","2710126","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4605205","보험품","B","661","2","2700000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4460076","보험품","A","2498","1","2685000","review","보류/전환(핵심보험)","SEO26FF"
"Q4018012","보험품","S","1681","3","2649186","strong","즉시공용화(전사재고有)","SEO26FF"
"Q2202508","보험품","A","3970","1","2630000","review","보류/전환(핵심보험)","SEO26FF"
"Q1036844","계획품","C","1899","4","2601333","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4636078","보험품","C","813","20","2480880","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4493662","보험품","B","2086","2","2400000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4559574","보험품","B","1513","6","2400000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4018019","보험품","S","779","1","2360508","strong","즉시공용화(전사재고有)","SEO26FF"
"Q2062201","보험품","S","2507","1","2325188","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4273074","보험품","B","1332","2","2300000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4140768","보험품","C","4280","2","2298200","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2140042","보험품","B","3240","5","2247000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4354776","계획품","C","911","12","2207760","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2179246","보험품","B","2635","2","2194000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2032491","보험품","C","750","4","2160000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2190703","계획품","A","989","1","2140000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4327789","보험품","B","1242","1","2100000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4037546","계획품","B","3102","2","2035067","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1077285","보험품","B","1536","10","2000000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4057578","계획품","B","2355","2","1964514","medium","공용화권장(비핵심·계획품)","SEO26FF"
