"Item","Type","Grade","CSP","CEQ","UnitCost","StockDept","StockAll","Target","OrderNeed","OrderAmount","Action","Reason","DeptCode"
"Q1000108","보험품","C","X","X","1422190","1","4","2","1","1422190","발주","비핵심보험[C] μ_LT+SS(Z1.28)=2,상한5→2","SEO26FF"
"Q1042338","보험품","B","X","X","420000","1","1","1","0","0","유지","비핵심보험[B] μ_LT+SS(Z1.65)=1,상한2→1","SEO26FF"
"Q1042383","계획품","B","X","X","1137500","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1052919","보험품","C","X","X","39000","2","2","3","1","39000","발주","비핵심보험[C] μ_LT+SS(Z1.28)=3,상한8→3","SEO26FF"
"Q1052933","계획품","C","X","X","27500","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1053112","보험품","A","X","O","164100","4","4","2","0","0","감축","핵심보험[A] μ_LT+SS(Z2.05)=2,상한4,기준1→2","SEO26FF"
"Q1053113","보험품","A","X","O","120800","4","4","2","0","0","감축","핵심보험[A] μ_LT+SS(Z2.05)=2,상한4,기준1→2","SEO26FF"
"Q1053117","계획품","C","X","X","340000","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1053133","보험품","C","X","X","425000","2","2","2","0","0","유지","비핵심보험[C] μ_LT+SS(Z1.28)=2,상한2→2","SEO26FF"
"Q1053210","계획품","C","X","X","20000","3","3","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1078241","계획품","C","X","X","465000","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1078244","보험품","B","X","X","415000","1","1","0","0","0","감축","비핵심보험[B] 소요無→0","SEO26FF"
"Q1078248","보험품","A","X","O","150000","2","2","2","0","0","유지","핵심보험[A] μ_LT+SS(Z2.05)=2,상한2,기준1→2","SEO26FF"
"Q1078249","보험품","A","X","O","141000","1","1","1","0","0","유지","핵심보험[A] μ_LT+SS(Z2.05)=1,상한1,기준1→1","SEO26FF"
"Q1053247","보험품","A","X","O","26881","4","4","4","0","0","유지","핵심보험[A] μ_LT+SS(Z2.05)=4,상한8,기준1→4","SEO26FF"
"Q1053248","보험품","A","X","O","21000","4","4","4","0","0","유지","핵심보험[A] μ_LT+SS(Z2.05)=4,상한8,기준1→4","SEO26FF"
"Q1053287","보험품","A","X","O","25000","3","3","1","0","0","감축","핵심보험[A] μ_LT+SS(Z2.05)=1,상한1,기준1→1","SEO26FF"
"Q1053317","계획품","A","X","O","36000","2","2","0","0","0","감축","핵심설비 계획품이나 3년무소요→0","SEO26FF"
