"Item","ITEM_ID","TXN_DATE","SUBINV","ORG_ID","QTY_IN","QTY_OUT","TXN_CNT","DeptCode"
"Q1000108","228275","2024-08-08","QVC01","86","0.0","1.0","1","SEO26FF"
"Q1000108","228275","2015-05-04","QVC01","86","0.0","1.0","1","SEO26FF"
"Q1000108","228275","2019-04-19","QHB25","86","1.0","1.0","2","SEO26FF"
"Q1000108","228275","2016-01-05","QHB25","86","0.0","0.0","1","SEO26FF"
"Q1000108","228275","2021-11-03","QVC10","85","0.0","1.0","1","SEO26FF"
"Q1000108","228275","2019-01-27","QVC70","86","2.0","2.0","4","SEO26FF"
"Q1042338","229042","2024-09-23","QFC01","86","2.0","0.0","1","SEO26FF"
"Q1042338","229042","2025-03-20","QFC01","86","2.0","0.0","1","SEO26FF"
"Q1042338","229042","2020-01-08","QVC70","86","2.0","2.0","2","SEO26FF"
"Q1042383","229083","2020-01-08","QVC70","86","1.0","1.0","2","SEO26FF"
"Q1042383","229083","2025-04-25","QFC81","86","1.0","1.0","2","SEO26FF"
"Q1052919","232474","2026-07-31","QFC01","86","0.0","4.0","1","SEO26FF"
"Q1052919","232474","2015-10-14","QHA23","86","0.0","2.0","1","SEO26FF"
"Q1052919","232474","2021-08-17","QHB24","86","0.0","4.0","1","SEO26FF"
"Q1052919","232474","2020-04-09","QHD23","86","0.0","0.0","1","SEO26FF"
"Q1052919","232474","2018-08-24","QVC01","86","4.0","0.0","1","SEO26FF"
"Q1052933","232481","2019-06-07","QHB24","86","2.0","2.0","2","SEO26FF"
"Q1052933","232481","2020-11-02","QVC01","86","0.0","2.0","1","SEO26FF"
"Q1052933","232481","2021-06-10","QVC01","86","0.0","2.0","1","SEO26FF"
"Q1052933","232481","2020-11-04","QHB24","86","0.0","2.0","1","SEO26FF"
"Q1052933","232481","2020-04-22","QVC01","86","0.0","2.0","1","SEO26FF"
"Q1052933","232481","2020-04-24","QHB24","86","0.0","2.0","1","SEO26FF"
"Q1052933","232481","2021-11-05","QVC01","86","14.0","0.0","1","SEO26FF"
"Q1052933","232481","2019-12-06","QVC01","86","0.0","2.0","1","SEO26FF"
"Q1052933","232481","2019-10-10","QVC01","86","2.0","0.0","1","SEO26FF"
"Q1052933","232481","2015-10-02","QVC01","86","0.0","0.0","1","SEO26FF"
"Q1052933","232481","2021-08-17","QVC01","86","0.0","2.0","1","SEO26FF"
"Q1052933","232481","2019-05-29","QVC75","86","4.0","0.0","1","SEO26FF"
