q,dept,name,group,type,csp,ceq,wh,stockDept,stockAll,suppliers,price,ltMean,ltStd,cycles,proc,recvDate,eq,holdStd
Q1000108,SEO26FF,Ball & Roller BRG,Q_Ball & Roller BRG,보험품,X,X,QFC01,1,4,1,1422189.73,227.67,60.61,6,국내,2022-08-25,,
Q1000737,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,O,X,QFC01,0,3,3,760000,92.5,25.49,4,국내,2026-05-28,,1
Q1000745,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,O,X,QFC01,2,2,5,1220000,74.95,31.24,22,국내,2025-11-27,,2
Q1000751,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,계획품,X,X,QFC01,2,2,4,1285000,89,15.58,6,국내,2026-03-26,,
Q1000781,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,O,X,QFC01,0,0,1,5456724,117,0,1,국내,2017-11-15,,2
Q1000971,SEO26FF,Motor (Ready),Q_Motor (Ready),보험품,O,X,QFC01,0,3,0,3567054.48,196,66.04,0,(미확인),,,1
Q1002238,SEO26FF,Manual Valve,Q_Manual Valve,보험품,X,X,QFC01,1,1,2,197767,42.12,35.95,8,수입,2025-10-27,,
Q1002292,SEO26FF,Packing & Seal,Q_Packing & Seal,보험품,X,X,QFC01,10,25,10,1765.5,68.96,41.89,25,수입,2025-09-23,,
Q1004847,SEO26FF,Steel Material,Q_Steel Material,계획품,X,X,QVC07,30,30,4,48014,30.21,24.07,76,수입,2024-10-24,,
Q1005323,SEO26FF,Steel Material,Q_Steel Material,계획품,X,X,QVC07,322.56,1209.6,9,4509,26.3,21.73,118,수입,2026-08-25,,
Q1007239,SEO26FF,Belt,Q_Belt,보험품,X,X,QFC01,5,5,1,14596,40,28.28,2,국내,2016-09-12,FM Main Motor,
Q1010099,SEO26FF,Fitting,Q_Fitting,계획품,X,X,QFC01,9,9,3,43384.12,37,18.24,8,수입,2026-02-05,,
Q1010193,SEO26FF,Fitting,Q_Fitting,계획품,X,X,QHB24,15,25,2,14411,25.9,13.16,21,수입,2026-08-18,,
Q1010224,SEO26FF,Fitting,Q_Fitting,보험품,X,X,QFC01,7,7,2,116059,39,21.32,8,수입,2025-09-12,,
Q1010299,SEO26FF,Fitting,Q_Fitting,보험품,X,X,QFC01,4,4,3,239090.13,59.14,77.94,22,수입,2025-10-26,,
Q1011982,SEO26FF,Bolt & Nut,Q_Bolt & Nut,계획품,X,X,QFC01,100,100,1,2791,48.8,16.59,10,국내,2026-05-27,,
Q1012773,SEO26FF,Bolt & Nut,Q_Bolt & Nut,계획품,X,X,QHB25,2,2,1,12404,68.5,25.3,4,국내,2026-04-20,,
Q1012781,SEO26FF,Bolt & Nut,Q_Bolt & Nut,보험품,X,X,QFC01,50,50,1,4135,61.4,16.89,10,국내,2024-10-21,,
Q1015021,SEO26FF,Machinery Common,Q_Machinery Common,계획품,X,X,QHB24,54,54,2,41.3,49.75,24.73,8,국내,2026-06-25,,
Q1018930,SEO26FF,Ball & Roller BRG,Q_Ball & Roller BRG,보험품,X,X,QFC01,1,14,2,3168.71,134.25,188.4,16,수입,2026-08-14,,
Q1019015,SEO26FF,Ball & Roller BRG,Q_Ball & Roller BRG,보험품,X,X,QFC01,1,1,1,509948.82,57.57,69.78,56,국내,2026-07-02,,
Q1019385,SEO26FF,Ball & Roller BRG,Q_Ball & Roller BRG,계획품,X,O,QVC03,2,2,1,41063883,341.75,140.86,4,국내,2020-06-18,FM Crop Shear,
Q1019683,SEO26FF,Ball & Roller BRG,Q_Ball & Roller BRG,보험품,X,X,QFC01,2,2,1,10049325,177.94,95.76,16,국내,2026-04-17,,
Q1019689,SEO26FF,Ball & Roller BRG,Q_Ball & Roller BRG,계획품,X,X,QFC01,3,3,0,8021737.2,,,0,(미확인),,,
Q1019695,SEO26FF,Ball & Roller BRG,Q_Ball & Roller BRG,계획품,X,X,QVC03,2,2,1,50274148,403.67,200.05,3,국내,2020-08-25,,
