name,dept,items
EP 집진기 TR,SEO26FF,Q4295492
FM Crop Shear,SEO26FF,Q1019385;Q1029653;Q1053112;Q1053113;Q2013987;Q2028329;Q2068400;Q2184244;Q2184478;Q4233153;Q4308842;Q4310783;Q4712672
FM Edge Heater,SEO26FF,Q2095020;Q4089851;Q4460076
FM Hot Leveller,SEO26FF,Q2100582;Q2177492;Q2190703;Q4051167;Q4103142;Q4112995;Q4501966;Q4503767;Q4503770;Q4504475;Q4597580;Q4698941
FM Main Motor,SEO26FF,Q1007239;Q1031708;Q1034397;Q1053247;Q1053248;Q1053287;Q1053317;Q1053318;Q1053378;Q1072836;Q1078248;Q1078249;Q2052411;Q2055671;Q2079803;Q2086434;Q2097306;Q2122540;Q2142284;Q2154362;Q2163394;Q2187474;Q2228264;Q4026534;Q4080430;Q4119198;Q4168388;Q4198917;Q4203928;Q4245535;Q4321160;Q4435466;Q4468493;Q4468503;Q4468504;Q4470227;Q4474243;Q4531078;Q4676007;Q4701430;Q4704375;Q4709438
FM Pinion Stand,SEO26FF,Q2142898;Q4204059;Q4204060;Q4204061;Q4204062
FM Roll Alignment,SEO26FF,Q1032182;Q1072995;Q1077400;Q1077622;Q1080496;Q2070801;Q2110732;Q2110733;Q2202508;Q4015405;Q4412119;Q4419677;Q4504476;Q4504478;Q4515205;Q4515206;Q4535892;Q4535894;Q4535900;Q4535902
FM Screw Down,SEO26FF,Q1080083;Q1080084;Q2101008;Q2101009;Q2101010;Q2162413
FM Spindle 감속기,SEO26FF,Q1029602;Q1029614;Q1030043;Q1030044;Q1077476;Q2116016;Q2120491;Q4347498;Q4412288;Q4416013
QOC Servo,SEO26FF,Q2146787;Q4386124;Q4439263;Q4439264;Q4439265;Q4439266;Q4587154;Q4686594
RM Stand Adjust,SEO26FF,Q4585577
Stand Main TR,SEO26FF,Q2210205;Q2233578;Q4246475;Q4532058
Table Roller 기어박스,SEO26FF,Q4020699;QS429155
Walking Beam 기어베어링,SEO26FF,Q4012998;Q4013000;Q4030286;Q4030636
