q,dept,verdict,path,why,si,sp,conf,cspScore,stockSrc
Q1000108,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1000737,SEO26FF,계획품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.025; 재고0비율=0.889,42.9,68.8,HIGH,20,Dummy TSV
Q1000745,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.025; 재고0비율=0.067,85.7,31.2,HIGH,20,Dummy TSV
Q1000751,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1000781,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.000,85.7,31.2,HIGH,20,Dummy TSV
Q1000971,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.025; 재고0비율=0.000,85.7,31.2,HIGH,20,Dummy TSV
Q1002238,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.579,14.3,62.5,HIGH,0,Dummy TSV
Q1002292,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.842,14.3,68.8,HIGH,0,Dummy TSV
Q1004847,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.611,14.3,68.8,HIGH,0,Dummy TSV
Q1005323,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.722,14.3,68.8,HIGH,0,Dummy TSV
Q1007239,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.062,57.1,31.2,HIGH,0,Dummy TSV
Q1010099,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.733,14.3,68.8,HIGH,0,Dummy TSV
Q1010193,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1010224,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.056,57.1,31.2,HIGH,0,Dummy TSV
Q1010299,SEO26FF,회색지대,시계열 점수,VMI; 불출발생월비율=0.017; 재고0비율=0.062,57.1,62.5,LOW,0,Dummy TSV
Q1011982,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1012773,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1012781,SEO26FF,회색지대,시계열 점수,VMI; 불출발생월비율=0.017; 재고0비율=0.000,57.1,62.5,LOW,0,Dummy TSV
Q1015021,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.071,57.1,31.2,HIGH,0,Dummy TSV
Q1018930,SEO26FF,배제-순환품,사전 배제,Roll 계열 Leaf Class 규칙 적용,,,HIGH,0,Dummy TSV
Q1019015,SEO26FF,배제-순환품,사전 배제,Roll 계열 Leaf Class 규칙 적용,,,HIGH,0,Dummy TSV
Q1019385,SEO26FF,배제-순환품,사전 배제,Roll 계열 Leaf Class 규칙 적용,,,HIGH,0,Dummy TSV
Q1019683,SEO26FF,배제-순환품,사전 배제,Roll 계열 Leaf Class 규칙 적용,,,HIGH,0,Dummy TSV
Q1019689,SEO26FF,배제-순환품,사전 배제,Roll 계열 Leaf Class 규칙 적용,,,HIGH,0,Dummy TSV
Q1019695,SEO26FF,배제-순환품,사전 배제,Roll 계열 Leaf Class 규칙 적용,,,HIGH,0,Dummy TSV
Q1019962,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1020094,SEO26FF,배제-순환품,사전 배제,Roll 계열 Leaf Class 규칙 적용,,,HIGH,0,Dummy TSV
Q1020168,SEO26FF,배제-순환품,사전 배제,Roll 계열 Leaf Class 규칙 적용,,,HIGH,0,Dummy TSV
Q1020996,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1021614,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.667,42.9,68.8,HIGH,0,Dummy TSV
Q1021836,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.857,14.3,68.8,HIGH,0,Dummy TSV
Q1021920,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.850,14.3,68.8,HIGH,0,Dummy TSV
Q1021932,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.867,14.3,68.8,HIGH,0,Dummy TSV
Q1023561,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1023576,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1024150,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1024335,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.875,14.3,68.8,HIGH,0,Dummy TSV
