q,dept,ageDays,staleValue,poolGrade,action
Q1000108,SEO26FF,1470,1422190,strong,즉시공용화(전사재고有)
Q1004847,SEO26FF,679,1440420,medium,공용화권장(비핵심·계획품)
Q1007239,SEO26FF,3643,72980,medium,공용화권장(비핵심·계획품)
Q1012781,SEO26FF,682,206750,medium,공용화권장(비핵심·계획품)
Q1019962,SEO26FF,2512,310787,strong,즉시공용화(전사재고有)
Q1020996,SEO26FF,1599,175710,medium,공용화권장(비핵심·계획품)
Q1024603,SEO26FF,2010,233338,medium,공용화권장(비핵심·계획품)
Q1029614,SEO26FF,3870,1241316,medium,공용화권장(비핵심·계획품)
Q1030453,SEO26FF,616,307710,strong,즉시공용화(전사재고有)
Q1031708,SEO26FF,1590,260175,medium,공용화권장(비핵심·계획품)
Q1033612,SEO26FF,3865,461668,medium,공용화권장(비핵심·계획품)
Q1033796,SEO26FF,3710,485396,medium,공용화권장(비핵심·계획품)
Q1036844,SEO26FF,1899,2601333,medium,공용화권장(비핵심·계획품)
Q1040729,SEO26FF,665,2920000,strong,즉시공용화(전사재고有)
Q1051490,SEO26FF,1703,157728,medium,공용화권장(비핵심·계획품)
Q1053112,SEO26FF,1697,656400,medium,공용화권장(비핵심·계획품)
Q1053113,SEO26FF,1697,483200,review,보류/전환(핵심보험)
Q1053133,SEO26FF,1275,850000,medium,공용화권장(비핵심·계획품)
Q1053317,SEO26FF,2495,72000,medium,공용화권장(비핵심·계획품)
Q1053318,SEO26FF,2499,73700,medium,공용화권장(비핵심·계획품)
Q1053378,SEO26FF,2470,134000,medium,공용화권장(비핵심·계획품)
Q1053392,SEO26FF,1232,352000,medium,공용화권장(비핵심·계획품)
Q1053581,SEO26FF,738,9634025,medium,공용화권장(비핵심·계획품)
Q1072616,SEO26FF,3557,10315040,medium,공용화권장(비핵심·계획품)
Q1072668,SEO26FF,1681,128000,medium,공용화권장(비핵심·계획품)
Q1072889,SEO26FF,2893,95040,medium,공용화권장(비핵심·계획품)
Q1072924,SEO26FF,2502,1075100,medium,공용화권장(비핵심·계획품)
Q1072926,SEO26FF,2403,37028000,medium,공용화권장(비핵심·계획품)
Q1072961,SEO26FF,727,305384,medium,공용화권장(비핵심·계획품)
Q1072995,SEO26FF,3535,3203333,medium,공용화권장(비핵심·계획품)
Q1073183,SEO26FF,2488,38190,medium,공용화권장(비핵심·계획품)
Q1073184,SEO26FF,2495,22910,medium,공용화권장(비핵심·계획품)
Q1073210,SEO26FF,2530,320000,medium,공용화권장(비핵심·계획품)
Q1073215,SEO26FF,2530,320000,medium,공용화권장(비핵심·계획품)
Q1073449,SEO26FF,2380,5280,medium,공용화권장(비핵심·계획품)
Q1073594,SEO26FF,1234,640000,medium,공용화권장(비핵심·계획품)
Q1073859,SEO26FF,1798,145000,medium,공용화권장(비핵심·계획품)
Q1073865,SEO26FF,2926,41800,medium,공용화권장(비핵심·계획품)
Q1073866,SEO26FF,2920,8800,medium,공용화권장(비핵심·계획품)
Q1073870,SEO26FF,2926,74800,medium,공용화권장(비핵심·계획품)
Q1077285,SEO26FF,1536,2000000,medium,공용화권장(비핵심·계획품)
Q1077367,SEO26FF,2373,383475,medium,공용화권장(비핵심·계획품)
Q1077400,SEO26FF,3125,70300,medium,공용화권장(비핵심·계획품)
Q1077622,SEO26FF,2347,3524000,medium,공용화권장(비핵심·계획품)
Q1077646,SEO26FF,4361,470000,medium,공용화권장(비핵심·계획품)
