q,cond,off,left,wo,asm,code,issueWh,acc,locator,eq
Q4039953,신품,-2,2,K10665396,Boom Conveyor,1KBA110-CV01,PFC,INV-51120 정비자재비,A-12-03,
Q4017998,중고,-5,1,K10665396,Boom Conveyor,1KBA110-CV01,중앙,INV-51120 정비자재비,B-04-11,
Q4173290,신품,-32,2,K10665396,Boom Conveyor,1KBA110-CV01,PFC,INV-51120 정비자재비,A-08-02,
Q4704375,신품,-58,4,K10665431,Roll Alignment,1KUX12-RM01,현장,INV-51120 정비자재비,C-02-08,
Q4104776,불용,-41,1,K10665418,Chute,1KBA170-CH01,중앙,INV-51120 정비자재비,D-01-06,
Q4551507,철강재,-19,1,K10665455,Chute,1KBA410-CH02,중앙,INV-51120 정비자재비,Y-00-00,
Q4441695,투자,-12,1,K10665477,Blower,1KBA370-BL01,중앙,CIP-70210 투자자재비,E-03-09,
Q1072928,Consignment,-2,2,K10665488,Coupling,1KBA330-CP01,PFC,INV-51120 정비자재비,F-05-01,
Q4080226,Consignment,-9,1,K10665491,Boom,1KBA400-BM01,PFC,INV-51120 정비자재비,F-05-04,
Q2176849,중고,-24,1,K10665502,Gear Box,1KBA210-GB01,중앙,INV-51120 정비자재비,B-09-07,
